Time ,error_voltage,reference_voltage,input_voltage,output_voltage,reward,action,action_values
1.6194,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -2.8668171207176723e+71, 'Ki': -2.6794409824036377e+71, 'Kd': -2.3046887057756026e+71}"
1.6195,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -2.895485291924849e+71, 'Ki': -2.7062353922276743e+71, 'Kd': -2.327735592833359e+71}"
1.6196,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -2.9244401448440972e+71, 'Ki': -2.733297746149951e+71, 'Kd': -2.351012948761692e+71}"
1.6197,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -2.9536845462925385e+71, 'Ki': -2.7606307236114506e+71, 'Kd': -2.374523078249309e+71}"
1.6198,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -2.9832213917554637e+71, 'Ki': -2.788237030847565e+71, 'Kd': -2.3982683090318024e+71}"
1.6199,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -3.013053605673018e+71, 'Ki': -2.8161194011560407e+71, 'Kd': -2.4222509921221207e+71}"
1.62,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -3.0431841417297484e+71, 'Ki': -2.844280595167601e+71, 'Kd': -2.446473502043342e+71}"
1.6201,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -3.073615983147046e+71, 'Ki': -2.872723401119277e+71, 'Kd': -2.4709382370637757e+71}"
1.6202,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.1043521429785166e+71, 'Ki': -2.90145063513047e+71, 'Kd': -2.4956476194344137e+71}"
1.6203,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -3.135395664408302e+71, 'Ki': -2.930465141481775e+71, 'Kd': -2.5206040956287576e+71}"
1.6204,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -3.1667496210523847e+71, 'Ki': -2.9597697928965926e+71, 'Kd': -2.545810136585045e+71}"
1.6205,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -3.1984171172629085e+71, 'Ki': -2.9893674908255585e+71, 'Kd': -2.571268237950896e+71}"
1.6206,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.2304012884355377e+71, 'Ki': -3.019261165733814e+71, 'Kd': -2.5969809203304045e+71}"
1.6207,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.262705301319893e+71, 'Ki': -3.049453777391152e+71, 'Kd': -2.6229507295337085e+71}"
1.6208,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -3.2953323543330923e+71, 'Ki': -3.0799483151650635e+71, 'Kd': -2.6491802368290458e+71}"
1.6209,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -3.328285677876423e+71, 'Ki': -3.110747798316714e+71, 'Kd': -2.675672039197336e+71}"
1.621,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -3.361568534655187e+71, 'Ki': -3.141855276299881e+71, 'Kd': -2.7024287595893093e+71}"
1.6211,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.395184220001739e+71, 'Ki': -3.17327382906288e+71, 'Kd': -2.7294530471852024e+71}"
1.6212,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -3.4291360622017564e+71, 'Ki': -3.2050065673535086e+71, 'Kd': -2.7567475776570544e+71}"
1.6213,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.4634274228237737e+71, 'Ki': -3.237056633027044e+71, 'Kd': -2.784315053433625e+71}"
1.6214,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -3.4980616970520113e+71, 'Ki': -3.2694271993573143e+71, 'Kd': -2.8121582039679614e+71}"
1.6215,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.533042314022531e+71, 'Ki': -3.3021214713508875e+71, 'Kd': -2.840279786007641e+71}"
1.6216,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -3.5683727371627564e+71, 'Ki': -3.335142686064396e+71, 'Kd': -2.8686825838677173e+71}"
1.6217,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.604056464534384e+71, 'Ki': -3.36849411292504e+71, 'Kd': -2.8973694097063943e+71}"
1.6218,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.640097029179728e+71, 'Ki': -3.4021790540542906e+71, 'Kd': -2.926343103803458e+71}"
1.6219,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.6764979994715253e+71, 'Ki': -3.4362008445948333e+71, 'Kd': -2.9556065348414927e+71}"
1.622,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -3.7132629794662405e+71, 'Ki': -3.470562853040782e+71, 'Kd': -2.9851626001899074e+71}"
1.6221,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -3.750395609260903e+71, 'Ki': -3.5052684815711895e+71, 'Kd': -3.0150142261918065e+71}"
1.6222,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.787899565353512e+71, 'Ki': -3.5403211663869014e+71, 'Kd': -3.0451643684537247e+71}"
1.6223,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.825778561007047e+71, 'Ki': -3.57572437805077e+71, 'Kd': -3.075616012138262e+71}"
1.6224,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.8640363466171176e+71, 'Ki': -3.611481621831278e+71, 'Kd': -3.106372172259645e+71}"
1.6225,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -3.9026767100832886e+71, 'Ki': -3.6475964380495905e+71, 'Kd': -3.1374358939822413e+71}"
1.6226,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -3.9417034771841213e+71, 'Ki': -3.6840724024300864e+71, 'Kd': -3.1688102529220635e+71}"
1.6227,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -3.9811205119559626e+71, 'Ki': -3.720913126454387e+71, 'Kd': -3.2004983554512843e+71}"
1.6228,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -4.0209317170755223e+71, 'Ki': -3.758122257718931e+71, 'Kd': -3.2325033390057973e+71}"
1.6229,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -4.0611410342462773e+71, 'Ki': -3.79570348029612e+71, 'Kd': -3.264828372395855e+71}"
1.623,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -4.1017524445887403e+71, 'Ki': -3.833660515099081e+71, 'Kd': -3.2974766561198134e+71}"
1.6231,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -4.142769969034628e+71, 'Ki': -3.8719971202500717e+71, 'Kd': -3.3304514226810117e+71}"
1.6232,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -4.184197668724974e+71, 'Ki': -3.910717091452572e+71, 'Kd': -3.3637559369078216e+71}"
1.6233,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -4.2260396454122236e+71, 'Ki': -3.949824262367098e+71, 'Kd': -3.3973934962769e+71}"
1.6234,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -4.2683000418663457e+71, 'Ki': -3.989322504990769e+71, 'Kd': -3.431367431239669e+71}"
1.6235,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -4.3109830422850093e+71, 'Ki': -4.0292157300406767e+71, 'Kd': -3.4656811055520656e+71}"
1.6236,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -4.3540928727078595e+71, 'Ki': -4.0695078873410837e+71, 'Kd': -3.500337916607586e+71}"
1.6237,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -4.3976338014349383e+71, 'Ki': -4.1102029662144946e+71, 'Kd': -3.5353412957736617e+71}"
1.6238,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -4.441610139449288e+71, 'Ki': -4.1513049958766395e+71, 'Kd': -3.5706947087313983e+71}"
1.6239,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -4.48602624084378e+71, 'Ki': -4.192818045835406e+71, 'Kd': -3.606401655818712e+71}"
1.624,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -4.530886503252218e+71, 'Ki': -4.23474622629376e+71, 'Kd': -3.642465672376899e+71}"
1.6241,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -4.57619536828474e+71, 'Ki': -4.2770936885566976e+71, 'Kd': -3.678890329100668e+71}"
1.6242,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -4.621957321967587e+71, 'Ki': -4.3198646254422644e+71, 'Kd': -3.7156792323916748e+71}"
1.6243,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -4.668176895187263e+71, 'Ki': -4.363063271696687e+71, 'Kd': -3.7528360247155915e+71}"
1.6244,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -4.714858664139136e+71, 'Ki': -4.406693904413654e+71, 'Kd': -3.7903643849627473e+71}"
1.6245,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -4.762007250780527e+71, 'Ki': -4.45076084345779e+71, 'Kd': -3.8282680288123747e+71}"
1.6246,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -4.809627323288332e+71, 'Ki': -4.495268451892368e+71, 'Kd': -3.8665507091004984e+71}"
1.6247,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -4.857723596521216e+71, 'Ki': -4.540221136411292e+71, 'Kd': -3.9052162161915036e+71}"
1.6248,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -4.906300832486428e+71, 'Ki': -4.585623347775404e+71, 'Kd': -3.9442683783534187e+71}"
1.6249,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -4.955363840811292e+71, 'Ki': -4.631479581253158e+71, 'Kd': -3.9837110621369526e+71}"
1.625,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -5.004917479219405e+71, 'Ki': -4.67779437706569e+71, 'Kd': -4.023548172758322e+71}"
1.6251,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -5.054966654011599e+71, 'Ki': -4.724572320836347e+71, 'Kd': -4.063783654485905e+71}"
1.6252,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -5.105516320551715e+71, 'Ki': -4.77181804404471e+71, 'Kd': -4.104421491030764e+71}"
1.6253,15.40362668,48,100,32.59637332,31.59637332,1,"{'Kp': -5.156571483757232e+71, 'Ki': -4.819536224485157e+71, 'Kd': -4.1454657059410717e+71}"
1.6254,15.40362668,48,100,32.59637332,31.59637332,2,"{'Kp': -5.208137198594804e+71, 'Ki': -4.867731586730009e+71, 'Kd': -4.1869203630004825e+71}"
1.6255,15.40362668,48,100,32.59637332,31.59637332,0,"{'Kp': -5.260218570580752e+71, 'Ki': -4.916408902597308e+71, 'Kd': -4.228789566630487e+71}"
